IFS||23.84||0.95||12||4.23||0||0||||
INTC||21.41||0.125||3||2.52||0||0||||
INTU||670.49||0.9||3||0.55||0||0||||
IRS||10.170||0.630247||12||5.46||0||0||||
ITUB||6.8||0.0026126||1||0.46||0||0||||
JNJ||161.43||1.24||3||3.10||10||-0.6699999999999999||||
JPM||214.60||1.15||3||2.20||0||0||||
KO||69.57||0.485||3||2.80||10||-1.0||||
LH||228.83||0.72||3||1.28||0||0||||
LHX||230.05||1.16||3||2.02||0||0||||
LIN||461.75||1.39||3||1.21||0||0||||
LLY||951.97||1.3||3||0.56||0||0||||
LMT||553.76||3.15||3||2.26||0||0||||
LOW||242.37||1.15||3||1.93||0||0||||
LYB||96.91||1.34||3||5.55||0||0||||
MA||468||0.66||3||0.59||0||0||||
MCD||289.71||1.67||3||2.34||0||0||||
MCHP||82.81||0.454||3||2.26||0||0||||
MCO||475.47||0.85||3||0.73||0||0||||
MDLZ||71.10||0.47||3||2.65||0||0||||
MDT||87.54||0.7||3||3.28||0||0||||
MELI||2007.46||0.15||3||0.19||0||0||||
META||535.16||0.5||3||0.40||0||0||||
MMM||129.23||1.51||3||6.54||0||0||||
MPC||171.97||0.825||3||1.92||0||0||||
MPWR||947.16||1.25||3||0.62||0||0||||
MRK||116.03||0.77||3||2.68||0||0||||
MRO||27.63||0.11||3||1.58||0||0||||
MS||100.69||0.925||3||3.57||0||0||||
MSFT||424.14||0.75||3||0.72||0||0||||
MSI||425.72||0.98||3||1.04||0||0||||
MU||108.33||0.115||3||0.35||0||0||||
NEE||79.64||0.515||3||2.61||0||0||||
NEM||51.87||0.25||3||1.94||0||0||||
NKE||84.00||0.37||3||1.77||0||0||||
NOC||506.86||2.06||3||1.76||0||0||||
NVDA||128.50||0.01||3||0.03||0||0||||
NVO||134.96||0.3623382||6||0.75||0||0||||
NVS||117.61||2.430704||12||2.37||0||0||||
O||60.93||0.263||1||5.21||11.93||-11.81||||
ORCL||140.20||0.4||3||1.13||0||0||||
OTIS||93.96||0.39||3||1.67||0||0||||
PAC||159.54||3.742582||O||4.64||0||0||||
PAYC||160.80||0.375||3||0.95||0||0||||
PBR||14.86||0.1287081||O||15.5||0||0||||
PEP||175.21||1.355||3||3.08||0||0||||
PFE||29.03||0.42||3||5.57||0||0||||
PG||170.16||1.0065||3||2.39||153.12||-7.38||||
PLD||124.47||0.96||3||3.42||0||0||||
PM||120||1.3||3||5.14||0||0||||
PPG||124.95||0.68||3||2.28||0||0||||
PSX||133.88||1.15||3||3.30||0||0||||
QCOM||174.22||0.85||3||1.98||0||0||||
ROP||551.65||0.75||3||0.53||0||0||||
RTX||117.26||0.63||3||2.13||0||0||||
RY||112.94||1.02980637||3||3.73||0||0||||
SAP||218.87||1.730603||12||0.90||0||0||||
SBAC||219.30||0.98||3||1.79||0||0||||
SBUX||92.78||0.57||3||2.40||0||0||||
SCHW||64.57||0.25||3||1.59||0||0||||
SHEL||71.29||0.688||3||3.76||0||0||||
SHW||357.97||0.715||3||0.80||0||0||||
SID||2.280||0.127537||O||10.04||0||0||||
SLB||44.20||0.275||3||2.50||0||0||||
SM||44.41||0.18||3||1.52||0||0||||
SNY||55.22||1.4784989||12||2.95||0||0||||
SONY||92.79||0.208927||3||0.47||0||0||||
SPGI||498.98||0.91||3||0.73||0||0||||
SQM||38.45||0.144051||3||1.21||0||0||||
SRE||80.98||0.62||3||3.26||0||0||||
STE||234.38||0.57||3||0.98||0||0||||
STZ||244.74||1.01||3||1.68||0||0||||
SUZ||10.35||0.177614||3||6.88||0||0||||
SWK||98.65||0.82||3||3.38||0||0||||
SWKS||107.87||0.7||3||2.59||0||0||||
SYF||47.24||0.25||3||2.22||0||0||||
T||19.54||0.2775||3||5.90||0||0||||
